serial_no,name,q1_cleaningstartdate,q1_cleaningenddate,remarks_q1,q2_cleaningstartdate,q2_cleaningenddate,remarks_q2,q3_cleaningstartdate,q3_cleaningenddate,remarks_q3,q4_cleaningstartdate,q4_cleaningenddate,remarks_q4,other_works_startdate,other_works_enddate,remarks_other_works,latitude_hc,longitude_hc,photourl,address_myenv,no_of_market_stalls,no_of_food_stalls,description_myenv,status,google_3d_view,google_for_stall
1,Adam Road Food Centre,7/3/2022,7/3/2022,nil,2/6/2022,2/6/2022,nil,1/9/2022,1/9/2022,nil,5/12/2022,6/12/2022,nil,NA,NA,nil,1.324131966,103.8141632,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,"2, Adam Road, Singapore 289876",0,32,"Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.",Existing,https://goo.gl/maps/ZMLJeP8STKpDP9so9,nil
2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),14/3/2022,15/3/2022,nil,6/6/2022,7/6/2022,nil,12/9/2022,15/9/2022,nil,12/12/2022,13/12/2022,nil,NA,NA,nil,1.320709944,103.8870926,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,"Blk 117, Aljunied Ave 2, Singapore 380117",82,79,"Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.",Existing,https://goo.gl/maps/XVjxu6hgpcwt15JC8,nil
3,Amoy Street Food Centre (Telok Ayer Food Centre),TBC,TBC,nil,7/5/2022,7/5/2022,nil,6/8/2022,6/8/2022,nil,10/11/2022,12/11/2022,nil,11/10/2021,10/1/2022,Repairs and Redecoration,1.279129028,103.8469849,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1,134,"Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!",Existing,https://goo.gl/maps/RiX319zQXRFeHWPE6,nil
4,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),7/3/2022,9/3/2022,nil,6/6/2022,6/6/2022,nil,12/9/2022,12/9/2022,nil,12/12/2022,12/12/2022,nil,NA,NA,nil,1.366950035,103.8391876,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",101,10,"Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.",Existing,https://goo.gl/maps/CAJGbiEU4o46xfbR8,nil
5,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),21/2/2022,22/2/2022,nil,9/5/2022,10/5/2022,nil,15/8/2022,16/8/2022,nil,14/11/2022,16/11/2022,nil,NA,NA,nil,1.364169955,103.84832,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",86,32,"Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!",Existing,https://goo.gl/maps/quL2H4mojGZfZsHA6,nil
6,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),7/3/2022,8/3/2022,nil,6/6/2022,7/6/2022,nil,5/9/2022,6/9/2022,nil,12/12/2022,14/12/2022,nil,NA,NA,nil,1.362730026,103.8553772,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",148,40,"Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.",Existing,https://goo.gl/maps/9AShxY98qfHC4yFK6,nil
7,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),21/2/2022,22/2/2022,nil,23/5/2022,24/5/2022,nil,22/8/2022,23/8/2022,nil,28/11/2022,30/11/2022,nil,NA,NA,nil,1.368299961,103.8564377,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",113,39,"Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.",Existing,https://goo.gl/maps/yRhwwdeCwrNUEGPb8,nil
8,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),7/3/2022,8/3/2022,nil,6/6/2022,7/6/2022,nil,12/9/2022,13/9/2022,nil,12/12/2022,14/12/2022,nil,NA,NA,nil,1.37270999,103.8544464,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",100,50,"Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.",Existing,https://goo.gl/maps/1i5LTCTThDSpkEoL6,nil
9,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),21/3/2022,21/3/2022,nil,27/6/2022,27/6/2022,nil,19/9/2022,19/9/2022,nil,19/12/2022,21/12/2022,nil,NA,NA,nil,1.374600053,103.839241,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",84,40,"Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.",Existing,https://goo.gl/maps/JfAERHoWCXLcLxFj8,nil
10,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),7/3/2022,9/3/2022,nil,20/6/2022,22/6/2022,nil,12/9/2022,14/9/2022,nil,12/12/2022,16/12/2022,nil,NA,NA,nil,1.38066268,103.8407516,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",166,52,"Originally built in 1979, the hawker centre is located opposite Yio Chu Kang CC and near schools, temples and residential flats.   After the upgrading in 2010, the rebuilt centre consists of  52 cooked food stalls and 166 market stalls to serve the marketingand dining needs of patrons.",Existing,https://goo.gl/maps/pakHuJhMHAXm2A378,nil
11,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),14/3/2022,15/3/2022,nil,6/6/2022,7/6/2022,nil,22/8/2022,23/8/2022,nil,5/12/2022,7/12/2022,nil,NA,NA,nil,1.372040033,103.8464966,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",78,45,"Located conveniently in the heart of the bustling Ang Mo Kio Town Centre, the hawker centre is always packed with patrons, especially during the weekends.  Be prepared to queue for your favourite food at popular stalls!",Existing,https://goo.gl/maps/McwQgyvQ23M7XE577,nil
12,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),7/3/2022,9/3/2022,nil,6/6/2022,6/6/2022,nil,12/9/2022,12/9/2022,nil,12/12/2022,12/12/2022,nil,NA,NA,nil,1.367266059,103.8399429,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",0,29,"Commonly known as Kebun Bahru Food Centre, the food centre was built in 1976 to serve the dining needs of Kebun Baru residents. Comprises 29 cooked food stalls.",Existing,https://goo.gl/maps/jZ6eW4rumGqcTbne7,nil
13,Bedok Food Centre,14/3/2022,14/3/2022,nil,13/6/2022,14/6/2022,nil,5/9/2022,5/9/2022,nil,12/12/2022,14/12/2022,nil,NA,NA,nil,1.320353031,103.9554749,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,"1, Bedok Road, Singapore 469572",0,32,"Located at the corner of Upper East Coast Road, Bedok Food Centre is a favourite haunt for residents in the vicinity and army personnel from nearby barracks. Upgraded in 2005, the fa?ade resembles that of an old Malay ""kampong"" house. Famous for hawker fare such as Hokkien Mee, Desserts, Malay Dishes and more, the hawker centre houses 32 cooked food stalls.",Existing,https://goo.gl/maps/xGnxBRmZFfuQi79Y9,nil
14,Bedok North Street 1 Blk 216,7/3/2022,7/3/2022,nil,6/6/2022,6/6/2022,nil,5/9/2022,5/9/2022,nil,12/12/2022,16/12/2022,nil,NA,NA,nil,1.327119946,103.9332962,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,"Blk 216, Bedok North Street 1, Singapore 460216",114,82,"Built in 1979, the hawker centre at Blk 216 Bedok North Street 1 comprises 82 cooked food stalls and 114 market stalls. A stone's throw away from Bedok Town Centre.",Existing,https://goo.gl/maps/SyNWybRigR8fvkQJ7,nil
15,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),7/3/2022,7/3/2022,nil,20/6/2022,24/6/2022,nil,19/9/2022,19/9/2022,nil,26/12/2022,26/12/2022,nil,NA,NA,nil,1.333310008,103.930687,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,"Blk 511, Bedok North Street 3, Singapore 460511",83,42,"Built in 1979, the hawker centre at Blk 511 Bedok North Street 3 comprises 42 cooked food stalls and 83 market stalls to serve both the dining and marketing needs of residents living in the Kaki Bukit area. Be pampered by the wide selection of hawker fare!  Crowded during dinner and supper hours.",Existing,https://goo.gl/maps/mS7Szg3qu62t8a746,nil
16,Bedok North Street 3 Blk 538,14/3/2022,14/3/2022,nil,6/6/2022,10/6/2022,nil,12/9/2022,12/9/2022,nil,19/12/2022,19/12/2022,nil,NA,NA,nil,1.332100034,103.9247208,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,"Blk 538, Bedok North Street 3, Singapore 460538",134,42,"Built in 1979, the hawker centre at Blk 538 Bedok North Street 3 comprises 42 cooked food stalls and 134 market stalls. One of the popular hawker centres in the Bedok area.",Existing,https://goo.gl/maps/vs3LEAgmNVTrwdqQ9,nil
17,Bedok North Street 4 Blk 85 (85 Fengshan Centre),21/2/2022,22/2/2022,nil,23/5/2022,24/5/2022,nil,29/8/2022,30/8/2022,nil,14/11/2022,18/11/2022,nil,NA,NA,nil,1.332059979,103.9388123,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,"Blk 85, Bedok North Street 4, Singapore 460085",170,72,"A popular supper destination for night owls from all over the island.  The hawker centre features a wide array of hawker fare such as Bak Chor Mee, Porridge, BBQ Chicken Wings and Seafood, Fried Oysters etc.  Definitely a favourite haunt for the sleepless!",Existing,https://goo.gl/maps/38cbWGRT7RDYaedNA,nil
18,Bedok Reservoir Road Blk 630,7/3/2022,7/3/2022,nil,20/6/2022,20/6/2022,nil,12/9/2022,16/9/2022,nil,28/11/2022,28/11/2022,nil,NA,NA,nil,1.332980037,103.9142075,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,"Blk 630, Bedok Reservoir Road, Singapore 470630",75,36,"Located within walking distance from the Eunos Community Club, the centre is a convenient place which meets the dining and marketing needs of residents living at Bedok Reservoir Road. Upgraded in 2006, it houses 36 cooked food stalls and 75 market stalls.",Existing,https://goo.gl/maps/8cXkGfFzKnNPrfP58,nil
19,Bedok South Road Blk 16,14/3/2022,14/3/2022,nil,20/6/2022,20/6/2022,nil,5/9/2022,5/9/2022,nil,12/12/2022,16/12/2022,nil,NA,NA,nil,1.320559978,103.9355469,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,"Blk 16, Bedok South Road, Singapore 460016",154,64,"Located near schools, factories and housing estates in the Bedok South area, this hawker centre is an accessible hotspot for patrons looking for an economical meal.",Existing,https://goo.gl/maps/DHwLVrkDU42o1NU29,nil
20,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),21/2/2022,22/2/2022,nil,23/5/2022,24/5/2022,nil,15/8/2022,16/8/2022,nil,14/11/2022,16/11/2022,nil,NA,NA,nil,1.319280028,103.8630905,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,"Blk 29, Bendemeer Road, Singapore 330029",105,88,"Just a few minutes away from Boon Keng MRT station, the hawker centre is very popular with the nearby residents as well as the workers at Kallang Bahru Industrial Estate because of its location and affordable local cuisines.",Existing,https://goo.gl/maps/ESaacUd3n8rVjrUNA,nil
21,Beo Crescent Market,7/3/2022,7/3/2022,nil,20/6/2022,20/6/2022,nil,19/9/2022,21/9/2022,nil,12/12/2022,12/12/2022,nil,NA,NA,nil,1.28848803,103.8272476,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,"38A, Beo Crescent, Singapore 169982",62,32,"Located near to Tiong Bahru MRT station and PSB Academy, Beo Crescent Market/Food Centre was built in 1965.  The centre serves the mature estate of Havelock and Tiong Bahru area.",Existing,https://goo.gl/maps/zUwFBP9agEnxbHDL8,nil
22,Berseh Food Centre,28/3/2022,28/3/2022,nil,27/6/2022,27/6/2022,nil,19/9/2022,19/9/2022,nil,19/12/2022,20/12/2022,nil,NA,NA,nil,1.307335019,103.8568497,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,"166, Jalan Besar, Singapore 208877",0,66,"Located along Jalan Besar Road, Berseh Food Centre houses 66 cooked food stalls. Built in 1975, the food centre presents an added nostalgic flavour with the rows of meticulously restored pre-war shophouses surrounding it.",Existing,"https://www.google.com/maps/@1.3072454,103.8567191,2a,75y,36.49h,85.01t/data=!3m6!1e1!3m4!1sQVLmSsGPCdUAAARErviBsA!2e0!7i13312!8i6656",nil
23,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),28/3/2022,29/3/2022,nil,20/6/2022,21/6/2022,nil,12/9/2022,15/9/2022,nil,19/12/2022,20/12/2022,nil,NA,NA,nil,1.345280051,103.7128525,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",94,72,"Located beside Boon Lay Shopping Centre, the hawker centre at Blk 221A/B Boon Lay Place provides marketing and dining amenities for residents living in Boon Lay. Built in 1976, the centre comprises 72 cooked food stalls and 94 market stalls.",Existing,https://goo.gl/maps/v8nsUp6AuhCUZDTz7,nil
24,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),7/3/2022,8/3/2022,nil,20/6/2022,21/6/2022,nil,12/9/2022,14/9/2022,nil,12/12/2022,13/12/2022,nil,NA,NA,nil,1.306190014,103.8506699,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,"Blk 665, Buffalo Road, Singapore 210665",284,119,"More commonly known as Tekka Centre, the hawker centre is a popular haunt for marketing and dining needs, especially with the Indian community. An amazing variety of fresh produce is sold at the market.  Built in 1980, it is the second largest hawker centre in Singapore housing more than 400 stalls. An iconic landmark in the Little India area!",Existing,https://goo.gl/maps/jdkxQwk8YsCa2kST7,nil
25,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),12/3/2022,13/3/2022,nil,25/6/2022,26/6/2022,nil,10/9/2022,11/9/2022,nil,24/12/2022,25/12/2022,nil,NA,NA,nil,1.283740044,103.8171082,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,"Blk 163, Bukit Merah Central, Singapore 150163",0,57,"Located in the heart of Bukit Merah Central, the food centre consists of 57 cooked food stalls. Extremely well liked by office executives working in the vicinity, the centre bustles with activity during lunch hours. Popular dishes include Ngoh Hiang, Chicken Rice, Teochew Porridge, Fish Soup, Char Kway Teow and Goreng Pisang. Be prepared to be spoilt for choice!",Existing,https://goo.gl/maps/TXsQjSfxXukdwVGD6,nil
26,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),14/3/2022,14/3/2022,nil,30/5/2022,30/5/2022,nil,26/9/2022,26/9/2022,nil,27/12/2022,27/12/2022,nil,NA,NA,nil,1.286360025,103.8045502,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,"Blk 120, Bukit Merah Lane, Singapore 150120",0,88,"Opposite the Queenstown Shopping Centre, the hawker centre, also commonly known as Alexandra Food Village, is home to a number of ""yummylicious"" local dishes such as Chicken Rice, Claypot Laksa, Bak Ku Teh etc.",Existing,https://goo.gl/maps/vwuZYeSycjWnXp3W6,nil
27,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),7/3/2022,8/3/2022,nil,6/6/2022,7/6/2022,nil,12/9/2022,13/9/2022,nil,26/12/2022,27/12/2022,nil,NA,NA,nil,1.285240054,103.8223724,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,"Blk 115, Bukit Merah View, Singapore 151115",167,84,"Built in 1973, the hawker centre comprises 84 cooked food stalls and 167 market produce stalls. Located in Henderson area and near to office buildings, schools and residential flats, it is one of the largest hawker centres in Bukit Merah.",Existing,https://goo.gl/maps/LeEpMpTYuPJhe9JV8,nil
28,Bukit Panjang Hawker Centre and Market,7/3/2022,8/3/2022,nil,6/6/2022,8/6/2022,nil,5/9/2022,6/9/2022,nil,12/12/2022,13/12/2022,nil,NA,NA,nil,1.378269,103.772432,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,"2 Bukit Panjang Ring Road, Singapore 679947",45,28,"Bukit Panjang Hawker Centre & Market is one of the 10 new centres announced by the Government. Among the 10 centres, it is the second to start operations, after the Hougang Ci Yuan Hawker Centre. Bukit Panjang Hawker Centre & Market has 28 cooked food stalls, 14 market slab stalls and 14 lock-up stalls located on both floors of the two-storeyed building.  It also has a sundry store on the second floor.",Existing (new),https://goo.gl/maps/xjE35jEQ3BSggbki8,nil
29,Bukit Timah Market,21/2/2022,21/2/2022,nil,23/5/2022,25/5/2022,nil,29/8/2022,29/8/2022,nil,28/11/2022,28/11/2022,nil,NA,NA,nil,1.339645028,103.7758026,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,"51, Upper Bukit Timah Road, Singapore 588215",95,84,"Located along Upper Bukit Timah Road, the two-storey hawker centre was built in 1975 and was upgraded in 2003. A popular hawker centre serving the dining and marketing needs of residents living around Toh Yi Drive. Well-known for the variety of hawker fare, the centre is usually packed with patrons during peak hours. Comprises 84 cooked food stalls and 94 market stalls.",Existing,https://goo.gl/maps/yN9dFxLPe41RKb3q7,nil
30,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),10/1/2022,10/1/2022,nil,18/4/2022,18/4/2022,nil,18/7/2022,19/7/2022,nil,3/10/2022,3/10/2022,nil,NA,NA,nil,1.316200018,103.8503036,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,"Blk 41A, Cambridge Road, Singapore 211041",74,50,"More commonly known as Pek Kio Market and Food Centre, the hawker centre was built in 1981 to serve residents staying nearby.  The centre was upgraded in 2003 and currently houses 50 cooked food stalls and 74 market stalls. Many stalls offer delicious yet suprisingly affordable dishes. Get ready for a gastronomic experience!",Existing,https://goo.gl/maps/a25iLt3ayWXwcF4h7,nil
31,Changi Village Blk 2 and 3,3/1/2022,5/1/2022,nil,11/4/2022,13/4/2022,nil,11/7/2022,13/7/2022,nil,10/10/2022,14/10/2022,nil,NA,NA,nil,1.389719963,103.9881821,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,"Blk 2/3, Changi Village Road, Singapore 500002/500003",50,87,"Located at the eastern end of Singapore near to Changi Point Ferry Terminal and Changi Beach, the popular hawker centre draws food lovers from all over the island. Be wowed by the great variety of  hawker fare available e.g. Nasi Lemak, BBQ Seafood, Fried Wan Ton Noodles etc.  Built in 1975, this centre comprises 87 cooked food stalls and 50 market stalls.",Existing,https://goo.gl/maps/3GGsFAsupmBzCzxr7,nil
32,Chomp Chomp Food Centre,28/3/2022,30/3/2022,nil,27/6/2022,27/6/2022,nil,26/9/2022,28/9/2022,nil,19/12/2022,19/12/2022,nil,NA,NA,nil,1.36422801,103.8665314,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,"20, Kensington Park Road, Singapore 557269",0,36,"Located in Serangoon Gardens, Chomp Chomp Food Centre is well-known for its vibrant dinner and supper scene. Bustling with diners even till late at night, the 36 cooked food stalls in the small hawker centre serve popular local dishes such as Char Kway Teow, BBQ Chicken Wings, Seafood etc. This Centre attracts food lovers from all over the island.",Existing,https://goo.gl/maps/pyWpn9LsQMSBjdAU6,nil
33,Ci Yuan Hawker Centre,28/2/2022,28/2/2022,nil,30/5/2022,30/5/2022,nil,TBC,TBC,nil,TBC,TBC,nil,NA,NA,nil,1.3749377,103.8829472,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,"51 Hougang Avenue 9, Singapore 538776",0,40,"Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls. All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/",Existing (new),https://goo.gl/maps/wBG3EnQ8P3DokJNWA,nil
34,Circuit Road Blk 79/79A,21/3/2022,22/3/2022,Blk 79 closed on 21 Mar 2022 and Blk 79A closed on 22 Mar 2022.,27/6/2022,28/6/2022,Blk 79 closed on 27 Jun 2022 and Blk 79A closed on 28 Jun 2022.,21/9/2022,29/9/2022,Blk 79 will be closed from 21 to 22 Sep 2022 and Blk 79A will be closed from 28 to 29 Sep 2022.,5/12/2022,6/12/2022,Blk 79 closed from 5 Dec 2022 and Blk 79A closed on 6 Dec 2022.,NA,NA,nil,1.326660037,103.8851166,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,"Blk 79/79A, Circuit Road, Singapore 370079/371079",0,106,"Built in 1971, the hawker centre is sited beside the Pelton Canal in Paya Lebar. One of the three hawker centres at Ciruit Road, the centre comprises 106 cooked food stalls. After upgrading in 2010, a new outdoor refreshment area has been added to provide a unique alfresco dining experience to patrons.",Existing,https://goo.gl/maps/Zvz8HuSSj9LMW1GU6,nil
35,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),10/1/2022,10/1/2022,nil,11/4/2022,11/4/2022,nil,18/7/2022,20/7/2022,nil,17/10/2022,17/10/2022,nil,NA,NA,nil,1.327900052,103.8871536,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,"Blk 80, Circuit Road, Singapore 370080",43,16,"Built in 1967, the hawker centre at Blk 80 Circuit Road comprises 16 cooked food stalls and 43 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",Existing,https://goo.gl/maps/vx66iiVq284rAG9n9,nil
36,Circuit Road Blk 89,28/3/2022,28/3/2022,nil,20/6/2022,20/6/2022,nil,5/9/2022,6/9/2022,nil,19/12/2022,19/12/2022,nil,NA,NA,nil,1.323639989,103.8855209,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,"Blk 89, Circuit Road, Singapore 370089",92,41,"Built in 1967, the hawker centre at Blk 89 Circuit Road comprises 40 cooked food stalls and 93 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",Existing,https://goo.gl/maps/UNaidnv7oUtyPVcB8,nil
37,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),7/3/2022,8/3/2022,nil,6/6/2022,7/6/2022,nil,5/9/2022,6/9/2022,nil,19/12/2022,21/12/2022,nil,NA,NA,nil,1.314337969,103.7707748,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,"Blk 353, Clementi Ave 2, Singapore 120353",59,18,"Built in 1978, the hawker centre has evolved into a focal point for residents to dine and engage in social bonding. Blk 353 Clementi Ave 2 comprises 18 cooked food stalls and 96 market stalls.",Existing,https://goo.gl/maps/d4rjgxigfQwK3nTS9,nil
38,Clementi Ave 3 Blk 448,28/3/2022,29/3/2022,nil,30/5/2022,31/5/2022,nil,26/9/2022,27/9/2022,nil,21/11/2022,24/11/2022,nil,NA,NA,nil,1.313349962,103.7645874,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,"Blk 448, Clementi Ave 3, Singapore 120448",92,51,"Located in the town centre of Clementi, the hawker centre at Blk 448 Clementi Ave 3 is within walking distance from Clementi MRT station and the bus interchange. Good food offerings and its strategic location make the centre popular with diners.",Existing,https://goo.gl/maps/RVticbYp3ErnPe787,nil
